k,n_bldg,peak_kw,annual_kwh,designed_kva,kva_imputed,overload_hours,utilisation,assigned_dwellings,archetype_to_assignment_ratio,audit_count_reconciliation,audit_extreme_utilisation,audit_large_catchment,requires_asset_audit
AG***131,9,11.038211226463318,29907.165877208718,50.0,False,0,0.22076422452926636,12,0.75,True,False,False,False
AG***133,28,33.99145728349686,115241.21772453631,50.0,False,0,0.6798291456699371,34,0.8235294117647058,False,False,False,False
AG***142X,12,14.180907726287842,45003.3925805352,50.0,False,0,0.28361815452575684,19,0.631578947368421,True,False,False,False
AG***166X,5,3.7955520153045654,21136.548430984752,50.0,False,0,0.0759110403060913,5,1.0,False,False,False,False
AG***171X,15,18.479999899864197,61026.71014889308,100.0,False,0,0.18479999899864197,16,0.9375,False,False,False,False
AG***175,20,21.193127632141113,72154.2879429856,50.0,False,0,0.42386255264282224,27,0.7407407407407407,True,False,False,False
AG***179Y,25,24.11318552494049,111724.25811057465,50.0,False,0,0.48226371049880984,37,0.6756756756756757,True,False,False,False
AG***181X,29,24.783929884433746,116362.17363120464,50.0,False,0,0.49567859768867495,36,0.8055555555555556,False,False,False,False
AG***185X,11,10.158579468727112,42766.21932237147,50.0,False,0,0.20317158937454224,17,0.6470588235294118,True,False,False,False
AG***193,15,18.405316829681396,50243.135472418886,50.0,False,0,0.3681063365936279,20,0.75,True,False,False,False
AG***222,142,174.94399905204773,496279.1848294862,400.0,False,0,0.43735999763011935,142,1.0,False,False,False,False
AG***230X,26,23.870665460824966,113293.32932402997,50.0,False,0,0.4774133092164993,27,0.9629629629629629,False,False,False,False
AG***240X,12,10.469851970672607,43659.361295887684,50.0,False,0,0.20939703941345214,15,0.8,False,False,False,False
AG***246,16,19.711999893188477,63871.370100854794,50.0,False,0,0.3942399978637695,21,0.7619047619047619,True,False,False,False
AG***275,34,40.391872465610504,135606.28298817406,50.0,False,0,0.8078374493122101,37,0.918918918918919,False,False,False,False
AG***277,36,43.797668516635895,142048.08583607347,400.0,False,0,0.10949417129158974,38,0.9473684210526315,False,False,False,False
AG***277X,18,16.755244970321655,64745.28673875224,50.0,False,0,0.3351048994064331,24,0.75,True,False,False,False
AG***283,17,18.095740616321564,61375.78504339701,50.0,False,0,0.3619148123264313,20,0.85,False,False,False,False
AG***285Y,73,89.20740777254105,286952.49228846235,50.0,False,3122,1.784148155450821,84,0.8690476190476191,False,False,False,False
AG***311,46,56.229324758052826,205604.81408008962,50.0,False,613,1.1245864951610565,44,1.0454545454545454,False,False,False,False
AG***341Z,23,27.303048193454742,92891.15175505963,50.0,False,0,0.5460609638690949,27,0.8518518518518519,False,False,False,False
AG***344,5,6.135105609893799,16504.058490350886,50.0,False,0,0.12270211219787598,5,1.0,False,False,False,False
AG***356,19,23.527619041502476,79157.89071423058,50.0,False,0,0.4705523808300495,24,0.7916666666666666,True,False,False,False
AG***359Y,9,11.038211226463318,29907.165877208718,50.0,False,0,0.22076422452926636,13,0.6923076923076923,True,False,False,False
AG***382,12,11.935740649700165,42975.76671538811,50.0,False,0,0.2387148129940033,12,1.0,False,False,False,False
AG***4025,6,4.543740689754486,20911.29649055945,200.0,False,0,0.02271870344877243,7,0.8571428571428571,False,False,False,False
AG***4056,7,8.599105596542358,23437.829298178927,50.0,False,0,0.17198211193084717,7,1.0,False,False,False,False
AG***406,9,8.239740669727325,31434.982558463944,50.0,False,0,0.16479481339454652,12,0.75,True,False,False,False
AG***4073,85,73.53371930122375,340646.0298345133,200.0,False,0,0.36766859650611877,91,0.9340659340659341,False,False,False,False
AG***4088,19,21.043551921844482,78657.03409953616,50.0,False,0,0.42087103843688967,24,0.7916666666666666,True,False,False,False
AG***4130,74,62.93483942747116,340470.0276174158,50.0,False,3585,1.2586967885494231,84,0.8809523809523809,False,False,False,False
AG***4136,23,30.783477887511253,127763.55344095945,50.0,False,0,0.615669557750225,25,0.92,False,False,False,False
AG***4149,8,7.491551995277405,31625.54941664656,100.0,False,0,0.07491551995277405,8,1.0,False,False,False,False
AG***4153,33,36.11435091495514,126752.2396934688,50.0,False,0,0.7222870182991028,43,0.7674418604651163,True,False,False,False
AG***4184,16,19.08401334285736,58397.118565772216,50.0,False,0,0.38168026685714723,22,0.7272727272727273,True,False,False,False
AG***4224,15,16.79203027486801,55239.820916427445,50.0,False,0,0.3358406054973602,22,0.6818181818181818,True,False,False,False
AG***4254,12,11.390579462051392,45980.372224510385,50.0,False,0,0.22781158924102785,18,0.6666666666666666,True,False,False,False
AG***4268,25,24.04178214073181,93426.2978714005,50.0,False,0,0.48083564281463625,30,0.8333333333333334,False,False,False,False
AG***428,23,19.310459554195404,95186.35325127235,50.0,False,0,0.38620919108390805,26,0.8846153846153846,False,False,False,False
AG***4300,8,6.156076550483704,34346.363525370194,50.0,False,0,0.12312153100967407,10,0.8,False,False,False,False
AG***4322,41,33.43950551748276,205701.75932300245,50.0,False,0,0.6687901103496552,43,0.9534883720930233,False,False,False,False
AG***433,60,49.75416153669357,299071.3447945991,50.0,False,0,0.9950832307338715,68,0.8823529411764706,False,False,False,False
